RunNO	K	MoJo	MoJo fm	Time Init	Time Clustering	Time Total
1	2	39	18.75	0.0	12.432441473007202	12.432441473007202
1	3	41	14.58	0.0	0.03000164031982422	0.03000164031982422
1	4	42	12.5	0.0	0.02800154685974121	0.02800154685974121
1	5	39	18.75	0.0	0.019999980926513672	0.019999980926513672
1	6	42	12.5	0.0	0.025001049041748047	0.025001049041748047
1	7	36	25.0	0.0	0.02500152587890625	0.02500152587890625
1	8	37	22.92	0.0	0.09500527381896973	0.09500527381896973
1	9	36	25.0	0.0	0.0520014762878418	0.0520014762878418
1	10	38	20.83	0.0	0.020999908447265625	0.020999908447265625
1	11	36	25.0	0.0	0.029999971389770508	0.029999971389770508
1	12	36	25.0	0.0	0.020000219345092773	0.020000219345092773
1	13	41	14.58	0.0	0.04500269889831543	0.04500269889831543
1	14	33	31.25	0.0	0.029999971389770508	0.029999971389770508
1	15	32	33.33	0.0	0.03000020980834961	0.03000020980834961
1	16	32	33.33	0.0	0.029999971389770508	0.029999971389770508
1	17	39	18.75	0.0	0.04400038719177246	0.04400038719177246
1	18	33	31.25	0.0	0.029999732971191406	0.029999732971191406
